buyer_dea_no,buyer_state,buyer_county,lat,lon
BF5768291,VA,VIRGINIA BEACH CITY,36.8757532,-76.0396959
FI1084639,VA,VIRGINIA BEACH CITY,36.814819,-76.0641091
BH9452070,VA,VIRGINIA BEACH CITY,36.7548781,-76.0652005
FH4730621,VA,VIRGINIA BEACH CITY,36.7548781,-76.0652005
BR6486953,VA,VIRGINIA BEACH CITY,36.911956,-76.066437
BF5768431,VA,VIRGINIA BEACH CITY,36.845744,-76.0705305
FW4908387,VA,VIRGINIA BEACH CITY,36.8454888,-76.0709961
BW5373763,VA,VIRGINIA BEACH CITY,36.8234432,-76.0717097
BE9719432,VA,VIRGINIA BEACH CITY,36.8115327,-76.0720949
BR9719432,VA,VIRGINIA BEACH CITY,36.8115327,-76.0720949
BM6635924,VA,VIRGINIA BEACH CITY,36.9097569,-76.0784351
FN4451263,VA,VIRGINIA BEACH CITY,36.9114262,-76.0791439
FW3868948,VA,VIRGINIA BEACH CITY,36.7923494,-76.0827673
BH8721068,VA,VIRGINIA BEACH CITY,36.8410101,-76.0864751
FH4730556,VA,VIRGINIA BEACH CITY,36.8410101,-76.0864751
FW1152874,VA,VIRGINIA BEACH CITY,36.7769272,-76.0872705
BK6896712,VA,VIRGINIA BEACH CITY,36.8435656,-76.08832
BS7546128,VA,VIRGINIA BEACH CITY,36.8404529,-76.0889294
BW7661881,VA,VIRGINIA BEACH CITY,36.842121,-76.09
FV3170711,VA,VIRGINIA BEACH CITY,36.8294541,-76.0948232
BE5536632,VA,VIRGINIA BEACH CITY,36.8400245,-76.0969639
BR5536632,VA,VIRGINIA BEACH CITY,36.8400245,-76.0969639
BS9976260,VA,VIRGINIA BEACH CITY,36.7753343,-76.0978916
BF5768607,VA,VIRGINIA BEACH CITY,36.8114959,-76.0994561
AR9645029,VA,VIRGINIA BEACH CITY,36.8011487,-76.1000103
BB9514096,VA,VIRGINIA BEACH CITY,36.8417873,-76.1010443
BF5768417,VA,VIRGINIA BEACH CITY,36.7887468,-76.1081658
BT5552559,VA,VIRGINIA BEACH CITY,36.7880352,-76.1086688
BK4998413,VA,VIRGINIA BEACH CITY,36.8143401,-76.1086742
FK3964358,VA,VIRGINIA BEACH CITY,36.8143401,-76.1086742
BW6126824,VA,VIRGINIA BEACH CITY,36.8156483,-76.112334
BF6202941,VA,VIRGINIA BEACH CITY,36.8403964,-76.1144181
FP3678729,VA,VIRGINIA BEACH CITY,36.8403964,-76.1144181
BW7455620,VA,VIRGINIA BEACH CITY,36.7908107,-76.1203529
BE5536593,VA,VIRGINIA BEACH CITY,36.8190761,-76.1207153
BR5536593,VA,VIRGINIA BEACH CITY,36.8190761,-76.1207153
BE9173814,VA,VIRGINIA BEACH CITY,36.7818778,-76.1213936
BR9173814,VA,VIRGINIA BEACH CITY,36.7818778,-76.1213936
BK6897168,VA,VIRGINIA BEACH CITY,36.7920768,-76.1223277
BW5422679,VA,VIRGINIA BEACH CITY,36.7941904,-76.122754
FV4079934,VA,VIRGINIA BEACH CITY,36.7689876,-76.1239318
BK2051770,VA,VIRGINIA BEACH CITY,36.8458302,-76.1296397
BK6894340,VA,VIRGINIA BEACH CITY,36.9029918,-76.1307583
BE5536656,VA,VIRGINIA BEACH CITY,36.8643933,-76.130907
BR5536656,VA,VIRGINIA BEACH CITY,36.8643933,-76.130907
FS1584160,VA,VIRGINIA BEACH CITY,36.8679182,-76.1312615
FW3574919,VA,VIRGINIA BEACH CITY,36.8438429,-76.1318368
FV2293431,VA,VIRGINIA BEACH CITY,36.8050581,-76.1324915
FH4425814,VA,VIRGINIA BEACH CITY,36.8072335,-76.1325389
FH4730811,VA,VIRGINIA BEACH CITY,36.8072335,-76.1325389
BW5949625,VA,VIRGINIA BEACH CITY,36.8659921,-76.1331388
FT3522528,VA,VIRGINIA BEACH CITY,36.8468076,-76.133436
BW8031205,VA,VIRGINIA BEACH CITY,36.9048545,-76.1347913
BF9908166,VA,VIRGINIA BEACH CITY,36.8728754,-76.1359501
BE5536620,VA,VIRGINIA BEACH CITY,36.8735795,-76.1362534
BR5536620,VA,VIRGINIA BEACH CITY,36.8735795,-76.1362534
BL3541528,VA,VIRGINIA BEACH CITY,36.87351,-76.137111
BR5381467,VA,VIRGINIA BEACH CITY,36.778269,-76.13804
BR5602481,VA,VIRGINIA BEACH CITY,36.8944155,-76.1413171
FV1327243,VA,VIRGINIA BEACH CITY,36.8936801,-76.1426785
FW4833340,VA,VIRGINIA BEACH CITY,36.8425122,-76.1434103
BF5768429,VA,VIRGINIA BEACH CITY,36.8222323,-76.1500748
AT3098402,VA,NORTHAMPTON,36.8554779,-76.1510424
BV5369740,VA,VIRGINIA BEACH CITY,36.8416938,-76.1612299
BR6014536,VA,VIRGINIA BEACH CITY,36.7947059,-76.1665713
BE5536581,VA,VIRGINIA BEACH CITY,36.8150077,-76.1668713
BR5536581,VA,VIRGINIA BEACH CITY,36.8150077,-76.1668713
BK7429132,VA,VIRGINIA BEACH CITY,36.8122153,-76.1678348
BE5536543,VA,VIRGINIA BEACH CITY,36.8296684,-76.1690904
BR5536543,VA,VIRGINIA BEACH CITY,36.8296684,-76.1690904
FH0715219,VA,VIRGINIA BEACH CITY,36.7937326,-76.1691341
FH4730809,VA,VIRGINIA BEACH CITY,36.7937326,-76.1691341
BF5768277,VA,VIRGINIA BEACH CITY,36.8718879,-76.170041
BW7007316,VA,VIRGINIA BEACH CITY,36.8709991,-76.1726602
BC6792065,NC,CURRITUCK,36.5212274,-76.1751209
BE5536606,VA,VIRGINIA BEACH CITY,36.7998714,-76.175463
BR5536606,VA,VIRGINIA BEACH CITY,36.7998714,-76.175463
BW9363994,VA,VIRGINIA BEACH CITY,36.7969542,-76.1757906
FF2415099,VA,VIRGINIA BEACH CITY,36.8000294,-76.1770154
BK0128377,VA,VIRGINIA BEACH CITY,36.80135,-76.1773225
FV3111402,VA,NORFOLK CITY,36.854987,-76.1784645
BE5514636,VA,CHESAPEAKE CITY,36.715371,-76.1860719
BR5514636,VA,CHESAPEAKE CITY,36.715371,-76.1860719
BR5879169,VA,VIRGINIA BEACH CITY,36.8413426,-76.1879934
BF9826706,VA,CHESAPEAKE CITY,36.7163897,-76.1880759
BF5872533,VA,VIRGINIA BEACH CITY,36.7806124,-76.1890937
FW4866907,VA,VIRGINIA BEACH CITY,36.7806124,-76.1890937
BW7548526,VA,VIRGINIA BEACH CITY,36.7809155,-76.1930904
FV2492673,VA,NORFOLK CITY,36.9175767,-76.1931059
BE5515145,VA,NORFOLK CITY,36.8545468,-76.1946621
BR5515145,VA,NORFOLK CITY,36.8545468,-76.1946621
BC7504740,VA,NORFOLK CITY,36.8526468,-76.2004347
FF0036485,VA,CHESAPEAKE CITY,36.7636052,-76.2017897
FV1831230,VA,CHESAPEAKE CITY,36.7625536,-76.2045787
FV3688491,VA,VIRGINIA BEACH CITY,36.8119103,-76.2060706
BB9651577,VA,NORFOLK CITY,36.8571714,-76.2061073
BW5373840,VA,NORFOLK CITY,36.862952,-76.2075336
BF6124414,VA,NORFOLK CITY,36.8647235,-76.2086426
FV3190321,VA,NORFOLK CITY,36.8483996,-76.2108145
BW8467715,VA,NORFOLK CITY,36.8621297,-76.2110758
BR6004446,VA,NORFOLK CITY,36.8375468,-76.2121062
FA1407281,VA,NORFOLK CITY,36.8375468,-76.2121062
FA2665290,VA,NORFOLK CITY,36.8375468,-76.2121062
BT5054298,VA,NORFOLK CITY,36.865587,-76.2123682
BE5536644,VA,VIRGINIA BEACH CITY,36.8178642,-76.2132266
BR5536644,VA,VIRGINIA BEACH CITY,36.8178642,-76.2132266
BW9332103,VA,VIRGINIA BEACH CITY,36.8164528,-76.2141081
BC9502027,NC,PASQUOTANK,36.3233234,-76.2161806
BO5612773,VA,NORFOLK CITY,36.8782809,-76.2179462
BR1594476,VA,CHESAPEAKE CITY,36.7683177,-76.2193496
BE5515614,VA,NORFOLK CITY,36.9155778,-76.2195595
BR5515614,VA,NORFOLK CITY,36.9155778,-76.2195595
BT2891908,NC,PASQUOTANK,36.3202424,-76.2198178
AS3178135,NC,PASQUOTANK,36.2999308,-76.2199044
AT3197527,NC,PASQUOTANK,36.2986047,-76.2200739
BH5144770,VA,NORFOLK CITY,36.8795448,-76.2202907
FH0433071,VA,NORFOLK CITY,36.8795448,-76.2202907
BW6437087,VA,NORFOLK CITY,36.9156391,-76.2209646
BR2724993,NC,PASQUOTANK,36.2958767,-76.2241028
FH0019768,VA,CHESAPEAKE CITY,36.6857105,-76.2248271
FH4730455,VA,CHESAPEAKE CITY,36.6857105,-76.2248271
FW4872671,VA,CHESAPEAKE CITY,36.743978,-76.2255514
AI2353782,VA,CHESAPEAKE CITY,36.8210625,-76.2259012
FW1236808,VA,CHESAPEAKE CITY,36.6875153,-76.2259467
BK5007097,VA,NORFOLK CITY,36.8947619,-76.2269108
BA9471056,NC,PASQUOTANK,36.2959074,-76.2273848
FW1192234,VA,NORFOLK CITY,36.9184084,-76.2282675
FW2326951,VA,CHESAPEAKE CITY,36.7695686,-76.2285843
BL6006604,VA,CHESAPEAKE CITY,36.792452,-76.2286749
BH5079480,VA,CHESAPEAKE CITY,36.7694277,-76.2303724
FH4730570,VA,CHESAPEAKE CITY,36.7694277,-76.2303724
BE5515525,VA,NORFOLK CITY,36.8710084,-76.2314814
BR5515525,VA,NORFOLK CITY,36.8710084,-76.2314814
BT4932821,VA,CHESAPEAKE CITY,36.7715264,-76.2320892
BT7070775,NC,PASQUOTANK,36.2845126,-76.2335642
FW2657534,VA,CHESAPEAKE CITY,36.6539112,-76.2336089
FN3778707,VA,CHESAPEAKE CITY,36.6975994,-76.2339351
BT9987340,VA,CHESAPEAKE CITY,36.6586897,-76.2347703
BT9496743,NC,PASQUOTANK,36.2956806,-76.2353969
BF5768241,VA,CHESAPEAKE CITY,36.7148589,-76.2372301
BW7756806,VA,CHESAPEAKE CITY,36.7136869,-76.2376576
BE5514600,VA,CHESAPEAKE CITY,36.7131557,-76.2392669
BR5514600,VA,CHESAPEAKE CITY,36.7131557,-76.2392669
BR5220380,VA,CHESAPEAKE CITY,36.7152538,-76.2395385
BE5515549,VA,NORFOLK CITY,36.9139989,-76.2408765
BR5515549,VA,NORFOLK CITY,36.9139989,-76.2408765
AB9807009,VA,NORFOLK CITY,36.9161081,-76.2409417
FB0481527,VA,NORFOLK CITY,36.916588,-76.241168
BF5768176,VA,CHESAPEAKE CITY,36.744952,-76.2421184
FV2726959,VA,NORFOLK CITY,36.9152892,-76.2423901
BE5514650,VA,CHESAPEAKE CITY,36.7412977,-76.2438035
BR5514650,VA,CHESAPEAKE CITY,36.7412977,-76.2438035
FO3847362,VA,CHESAPEAKE CITY,36.7493461,-76.2441943
FW4956883,VA,NORFOLK CITY,36.8632951,-76.245151
BR5387661,VA,CHESAPEAKE CITY,36.7500704,-76.2454226
FW0639700,NC,PASQUOTANK,36.2925442,-76.2471425
BW5374070,VA,CHESAPEAKE CITY,36.7736745,-76.2482514
FI4928391,VA,CHESAPEAKE CITY,36.8285756,-76.2491387
BS6907060,VA,CHESAPEAKE CITY,36.7713064,-76.24936
FV2902725,VA,NORFOLK CITY,36.8756225,-76.2514422
AK7198977,VA,NORFOLK CITY,36.9146541,-76.2517138
FW0096796,VA,NORFOLK CITY,36.9127183,-76.2520759
BW8866773,VA,CHESAPEAKE CITY,36.7651893,-76.2524832
BF9012496,NC,PASQUOTANK,36.2909952,-76.2531138
FC0489511,NC,TYRRELL,35.9177581,-76.2531168
AC8617651,NC,TYRRELL,35.917797,-76.2531319
BF5768467,VA,CHESAPEAKE CITY,36.7976809,-76.2531621
BE5515563,VA,NORFOLK CITY,36.9540971,-76.2532073
BR5515563,VA,NORFOLK CITY,36.9540971,-76.2532073
BW8578758,VA,NORFOLK CITY,36.9332641,-76.2546474
AK8044391,VA,CHESAPEAKE CITY,36.7859706,-76.2575068
BW9288728,VA,CHESAPEAKE CITY,36.814326,-76.258928
FC1751216,VA,CHESAPEAKE CITY,36.814326,-76.258928
FV4227294,VA,CHESAPEAKE CITY,36.7971327,-76.2590456
BR5202255,VA,NORFOLK CITY,36.8863463,-76.2595434
AW3074666,VA,CHESAPEAKE CITY,36.7626395,-76.2606748
BE5514713,VA,CHESAPEAKE CITY,36.7922959,-76.2613624
BR5514713,VA,CHESAPEAKE CITY,36.7922959,-76.2613624
BE5515626,VA,NORFOLK CITY,36.8781588,-76.2626255
BR5515626,VA,NORFOLK CITY,36.8781588,-76.2626255
FW4755825,VA,CHESAPEAKE CITY,36.7093596,-76.2636519
BE5514573,VA,CHESAPEAKE CITY,36.8170563,-76.2667527
BK6897170,VA,NORFOLK CITY,36.9146819,-76.2680966
BF5768330,VA,NORFOLK CITY,36.916628,-76.269858
FH4363103,VA,NORFOLK CITY,36.9139363,-76.2709329
FH4730835,VA,NORFOLK CITY,36.9139363,-76.2709329
BW7127930,VA,NORFOLK CITY,36.9142992,-76.2735795
BE5515119,VA,NORFOLK CITY,36.9152219,-76.2737532
BR5515119,VA,NORFOLK CITY,36.9152219,-76.2737532
FA2005456,VA,CHESAPEAKE CITY,36.8251446,-76.2740655
AN3511284,VA,NORFOLK CITY,36.8985314,-76.2809026
BF9525342,VA,NORFOLK CITY,36.8311946,-76.282034
BA1396781,VA,NORFOLK CITY,36.8982392,-76.2823892
BM6999758,VA,NORFOLK CITY,36.849644,-76.290839
BE5514612,VA,CHESAPEAKE CITY,36.721765,-76.2912415
BR5514612,VA,CHESAPEAKE CITY,36.721765,-76.2912415
FW4911295,VA,CHESAPEAKE CITY,36.7234416,-76.2914455
FH2435700,VA,NORFOLK CITY,36.8649337,-76.2925314
FH4813552,VA,NORFOLK CITY,36.8649337,-76.2925314
BR5149023,VA,NORFOLK CITY,36.8691578,-76.293029
BE5515501,VA,NORFOLK CITY,36.8710217,-76.2955628
BR5515501,VA,NORFOLK CITY,36.8710217,-76.2955628
BW8829004,VA,NORFOLK CITY,36.8715279,-76.2968329
BW5431248,NC,PASQUOTANK,36.2961296,-76.2982321
AC2992584,VA,NORFOLK CITY,36.8676918,-76.2983
BF6629692,VA,CHESAPEAKE CITY,36.7281742,-76.2996566
BG0234322,VA,NORFOLK CITY,36.8727907,-76.300811
BN7580625,VA,PORTSMOUTH CITY,36.8276936,-76.3011945
BF6921844,VA,NORFOLK CITY,36.8621682,-76.3020325
BD1864520,VA,NORFOLK CITY,36.886683,-76.3022289
FV4903717,VA,NORFOLK CITY,36.8793319,-76.302446
AD2105004,VA,PORTSMOUTH CITY,36.8354916,-76.3041066
BH7762518,VA,NORFOLK CITY,36.8609119,-76.304668
FF2223802,VA,NORFOLK CITY,36.8594855,-76.3065308
BE5514775,VA,HAMPTON CITY,37.0405681,-76.3073258
BR5514775,VA,HAMPTON CITY,37.0405681,-76.3073258
BW9588104,VA,CHESAPEAKE CITY,36.7212211,-76.3091255
AD2053104,VA,PORTSMOUTH CITY,36.8361589,-76.3121212
BR1279733,VA,HAMPTON CITY,37.0381684,-76.3149659
BF5768253,VA,HAMPTON CITY,37.0216986,-76.319522
AH3012236,VA,MATHEWS,37.4347317,-76.320443
BT2046351,VA,MATHEWS,37.4372347,-76.3215028
FV3261409,VA,HAMPTON CITY,37.0266799,-76.3225891
FV3493044,VA,CHESAPEAKE CITY,36.7733098,-76.3236565
BW8462082,VA,HAMPTON CITY,37.0338631,-76.324905
AD2053142,VA,HAMPTON CITY,37.0579404,-76.3249683
BA4716467,VA,PORTSMOUTH CITY,36.792697,-76.3282227
BE5536389,VA,PORTSMOUTH CITY,36.7957306,-76.328587
BR5536389,VA,PORTSMOUTH CITY,36.7957306,-76.328587
BW9294593,VA,CHESAPEAKE CITY,36.7843057,-76.3343104
AL2352968,VA,CHESAPEAKE CITY,36.7838212,-76.3346244
FK4867226,VA,PORTSMOUTH CITY,36.8275633,-76.3364121
FV2480490,VA,PORTSMOUTH CITY,36.8242137,-76.3394101
BE5515676,VA,PORTSMOUTH CITY,36.8349808,-76.3401623
BR5515676,VA,PORTSMOUTH CITY,36.8349808,-76.3401623
BW5872230,VA,PORTSMOUTH CITY,36.8324587,-76.3422919
FW0093423,VA,PORTSMOUTH CITY,36.8294151,-76.3423824
AD2242181,VA,PORTSMOUTH CITY,36.830779,-76.3434599
FD3739806,VA,CHESAPEAKE CITY,36.7688829,-76.3446
BE5514737,VA,CHESAPEAKE CITY,36.7409556,-76.3466338
BR5514737,VA,CHESAPEAKE CITY,36.7409556,-76.3466338
BM4520626,VA,PORTSMOUTH CITY,36.8360332,-76.3472422
BD0881979,VA,PORTSMOUTH CITY,36.8332419,-76.3477664
FW3084100,VA,HAMPTON CITY,37.02371,-76.3493474
BR4477041,VA,HAMPTON CITY,37.0249511,-76.350278
BF5768188,VA,PORTSMOUTH CITY,36.8112896,-76.3533272
FW0775809,VA,PORTSMOUTH CITY,36.8164376,-76.3546387
BE5514802,VA,HAMPTON CITY,37.0089088,-76.3590604
BR5514802,VA,HAMPTON CITY,37.0089088,-76.3590604
AK6387321,VA,HAMPTON CITY,37.0452761,-76.3606186
AH4307927,VA,HAMPTON CITY,37.0129619,-76.3661056
BW6044743,VA,HAMPTON CITY,37.0433986,-76.3756057
FV4852073,VA,HAMPTON CITY,37.0447114,-76.3758924
BW5373725,VA,HAMPTON CITY,37.0408875,-76.3787577
BA6682985,VA,LANCASTER,37.7108227,-76.3800855
BK9675351,VA,LANCASTER,37.7176142,-76.3815896
BA8779994,VA,LANCASTER,37.7159191,-76.3817838
BE5536341,VA,PORTSMOUTH CITY,36.8045991,-76.3820261
BR5536341,VA,PORTSMOUTH CITY,36.8045991,-76.3820261
FV3031010,VA,PORTSMOUTH CITY,36.8042129,-76.383353
FW0540561,VA,LANCASTER,37.7270324,-76.3850711
BR0694427,VA,LANCASTER,37.7233652,-76.3889142
FW0766305,VA,LANCASTER,37.7243506,-76.3893211
BW2323082,VA,LANCASTER,37.6487015,-76.3898321
BF6765878,VA,HAMPTON CITY,37.0498073,-76.3903158
BC7402100,VA,LANCASTER,37.7024983,-76.3904378
BF5989198,VA,POQUOSON CITY,37.125324,-76.3906278
AR2041084,VA,PORTSMOUTH CITY,36.820789,-76.3906323
BY2552037,VA,POQUOSON CITY,37.1279379,-76.3911597
BE5536391,VA,PORTSMOUTH CITY,36.8212036,-76.3916711
BR5536391,VA,PORTSMOUTH CITY,36.8212036,-76.3916711
BT4932819,VA,HAMPTON CITY,37.0424479,-76.3916915
BE5515208,VA,POQUOSON CITY,37.1230554,-76.3927782
BR5515208,VA,POQUOSON CITY,37.1230554,-76.3927782
BK6897194,VA,PORTSMOUTH CITY,36.8582468,-76.3929068
FH3158397,VA,PORTSMOUTH CITY,36.8622903,-76.3943848
FH4730758,VA,PORTSMOUTH CITY,36.8622903,-76.3943848
FV4573300,VA,PORTSMOUTH CITY,36.8600549,-76.3949044
FD3250393,VA,HAMPTON CITY,37.0463906,-76.3959672
BE5514597,VA,PORTSMOUTH CITY,36.8615881,-76.3965097
BR5514597,VA,PORTSMOUTH CITY,36.8615881,-76.3965097
BW8857673,VA,PORTSMOUTH CITY,36.8602737,-76.3969166
BR5208752,VA,PORTSMOUTH CITY,36.8618596,-76.3981372
AU2241711,VA,HAMPTON CITY,37.0547745,-76.3986912
FW4949232,VA,HAMPTON CITY,37.0367834,-76.4036075
BB9487376,VA,CHESAPEAKE CITY,36.8220275,-76.4080391
FV1466057,VA,HAMPTON CITY,37.0368298,-76.4082407
BS9050953,VA,NEWPORT NEWS CITY,36.99179,-76.408837
BT7646752,VA,CHESAPEAKE CITY,36.8282424,-76.4141849
BF5768405,VA,CHESAPEAKE CITY,36.864539,-76.41518
AE6361822,VA,NEWPORT NEWS CITY,36.9836578,-76.4161708
BS7866645,VA,CHESAPEAKE CITY,36.8307296,-76.416175
BW5373737,VA,CHESAPEAKE CITY,36.8290475,-76.418542
FH3657030,VA,HAMPTON CITY,37.0314003,-76.4192662
BK2074108,VA,CHESAPEAKE CITY,36.8234504,-76.4203331
FK4944535,VA,SUFFOLK CITY,36.8719857,-76.4203331
BW6907729,VA,HAMPTON CITY,37.0321671,-76.4206073
BE5514799,VA,HAMPTON CITY,37.0301474,-76.4211885
BR5514799,VA,HAMPTON CITY,37.0301474,-76.4211885
BE5514903,VA,NEWPORT NEWS CITY,36.9801646,-76.4213728
BR5514903,VA,NEWPORT NEWS CITY,36.9801646,-76.4213728
BE5514624,VA,CHESAPEAKE CITY,36.8452391,-76.4254605
BR5514624,VA,CHESAPEAKE CITY,36.8452391,-76.4254605
BE5929041,VA,HAMPTON CITY,37.0625395,-76.4266024
BR5929041,VA,HAMPTON CITY,37.0625395,-76.4266024
BF5768796,VA,HAMPTON CITY,37.0637356,-76.4267969
BW7077755,VA,SUFFOLK CITY,36.8825989,-76.428104
AD2053128,VA,HAMPTON CITY,37.024453,-76.4324918
FH1393937,VA,SUFFOLK CITY,36.8754796,-76.4362634
FH4730633,VA,SUFFOLK CITY,36.8754796,-76.4362634
FG4059704,VA,SUFFOLK CITY,36.8684907,-76.441506
FW3636466,VA,NEWPORT NEWS CITY,37.0219897,-76.4485359
BH5234315,VA,NORTHUMBERLAND,37.9157934,-76.4515637
BW6593974,VA,NEWPORT NEWS CITY,37.03776,-76.4553097
FW1699822,VA,YORK,37.119027,-76.455676
BE5514749,VA,YORK,37.1463533,-76.456982
BR5514749,VA,YORK,37.1463533,-76.456982
BE5514838,VA,NEWPORT NEWS CITY,37.0855817,-76.4576879
BR5514838,VA,NEWPORT NEWS CITY,37.0855817,-76.4576879
FV1698250,VA,YORK,37.1473573,-76.457808
BW7827047,VA,YORK,37.1192841,-76.4583096
FB0374912,VA,NEWPORT NEWS CITY,37.0958716,-76.4585229
BP9041358,VA,NEWPORT NEWS CITY,37.0850487,-76.4589305
FH4427654,VA,NEWPORT NEWS CITY,37.0850487,-76.4589305
FD2494095,VA,NEWPORT NEWS CITY,37.0474558,-76.4598785
BK6894376,VA,YORK,37.1160485,-76.461912
AD2053116,VA,YORK,37.1612245,-76.4631309
BF4783254,NC,PERQUIMANS,36.181014,-76.46414
AF2597675,VA,MIDDLESEX,37.5564212,-76.4642825
FM3728269,VA,MIDDLESEX,37.5563874,-76.4643069
FW3649855,VA,NEWPORT NEWS CITY,37.0616967,-76.4650751
FW0542046,VA,SUFFOLK CITY,36.8616256,-76.4654141
FF0117766,VA,SUFFOLK CITY,36.8607564,-76.465665
AH4887850,NC,PERQUIMANS,36.1889061,-76.4661301
FV1662128,VA,NEWPORT NEWS CITY,37.0583615,-76.4662822
BK3836713,VA,YORK,37.1145183,-76.4665446
AD9809801,VA,NEWPORT NEWS CITY,37.0401638,-76.4683675
BD0694097,VA,NEWPORT NEWS CITY,37.0762087,-76.4706329
FV2516271,VA,NEWPORT NEWS CITY,37.0897253,-76.4708136
BF5768455,VA,NEWPORT NEWS CITY,37.1115905,-76.4718297
BE5536769,VA,YORK,37.1729371,-76.4724841
BF9504235,VA,YORK,37.1729371,-76.4724841
BR5536769,VA,YORK,37.1729371,-76.4724841
FN2604545,VA,NORTHUMBERLAND,37.9176324,-76.472892
BW6568856,VA,NEWPORT NEWS CITY,37.0735663,-76.4736857
FW0875154,VA,YORK,37.174031,-76.4748349
FP4486999,VA,NEWPORT NEWS CITY,37.0845569,-76.4754331
FR4202141,VA,NEWPORT NEWS CITY,37.0634596,-76.4833383
AB3116072,VA,SUFFOLK CITY,36.8625973,-76.4843681
BP9524338,VA,NEWPORT NEWS CITY,37.0837165,-76.4867341
BH5574858,VA,NEWPORT NEWS CITY,37.068463,-76.4915515
FH4730429,VA,NEWPORT NEWS CITY,37.068463,-76.4915515
BT5552547,VA,NEWPORT NEWS CITY,37.1073546,-76.491584
AM2141997,VA,NEWPORT NEWS CITY,37.071749,-76.492758
